['Pasajero','tiempo_espera','tiempo_viaje','tiempo_transbordo','tiempo_total','
'],['passenger(116)','662.0','0.0','0.0','0.0','
'],['passenger(117)','662.0','0.0','0.0','0.0','
'],['passenger(118)','662.0','0.0','0.0','0.0','
'],['passenger(119)','662.0','0.0','0.0','0.0','
'],['passenger(120)','662.0','0.0','0.0','0.0','
'],['passenger(121)','662.0','0.0','0.0','0.0','
'],['passenger(122)','662.0','0.0','0.0','0.0','
'],['passenger(123)','662.0','0.0','0.0','0.0','
'],['passenger(124)','662.0','0.0','0.0','0.0','
'],['passenger(125)','662.0','0.0','0.0','0.0','
'],['passenger(126)','662.0','0.0','0.0','0.0','
'],['passenger(127)','662.0','0.0','0.0','0.0','
'],['passenger(128)','662.0','0.0','0.0','0.0','
'],['passenger(129)','662.0','0.0','0.0','0.0','
'],['passenger(130)','662.0','0.0','0.0','0.0','
'],['passenger(131)','662.0','0.0','0.0','0.0','
'],['passenger(132)','662.0','0.0','0.0','0.0','
'],['passenger(133)','662.0','0.0','0.0','0.0','
'],['passenger(134)','662.0','0.0','0.0','0.0','
'],['passenger(135)','662.0','0.0','0.0','0.0','
'],['passenger(136)','662.0','0.0','0.0','0.0','
'],['passenger(137)','662.0','0.0','0.0','0.0','
'],['passenger(138)','662.0','0.0','0.0','0.0','
'],['passenger(139)','662.0','0.0','0.0','0.0','
'],['passenger(140)','662.0','0.0','0.0','0.0','
'],['passenger(141)','662.0','0.0','0.0','0.0','
'],['passenger(142)','662.0','0.0','0.0','0.0','
'],['passenger(143)','662.0','0.0','0.0','0.0','
'],['passenger(144)','662.0','0.0','0.0','0.0','
'],['passenger(145)','662.0','0.0','0.0','0.0','
'],['passenger(146)','662.0','0.0','0.0','0.0','
'],['passenger(147)','662.0','0.0','0.0','0.0','
'],['passenger(148)','662.0','0.0','0.0','0.0','
'],['passenger(149)','662.0','0.0','0.0','0.0','
'],['passenger(150)','662.0','0.0','0.0','0.0','
'],['passenger(151)','662.0','0.0','0.0','0.0','
'],['passenger(152)','662.0','0.0','0.0','0.0','
'],['passenger(153)','662.0','0.0','0.0','0.0','
'],['passenger(154)','662.0','0.0','0.0','0.0','
'],['passenger(155)','662.0','0.0','0.0','0.0','
'],['passenger(156)','662.0','0.0','0.0','0.0','
'],['passenger(157)','662.0','0.0','0.0','0.0','
'],['passenger(158)','662.0','0.0','0.0','0.0','
'],['passenger(159)','662.0','0.0','0.0','0.0','
'],['passenger(160)','662.0','0.0','0.0','0.0','
'],['passenger(161)','662.0','0.0','0.0','0.0','
'],['passenger(162)','662.0','0.0','0.0','0.0','
'],['passenger(163)','662.0','0.0','0.0','0.0','
'],['passenger(164)','662.0','0.0','0.0','0.0','
'],['passenger(165)','662.0','0.0','0.0','0.0','
'],['passenger(166)','662.0','0.0','0.0','0.0','
'],['passenger(167)','662.0','0.0','0.0','0.0','
'],['passenger(168)','662.0','0.0','0.0','0.0','
'],['passenger(169)','662.0','0.0','0.0','0.0','
'],['passenger(170)','662.0','0.0','0.0','0.0','
'],['passenger(171)','662.0','0.0','0.0','0.0','
'],['passenger(172)','662.0','0.0','0.0','0.0','
'],['passenger(173)','662.0','0.0','0.0','0.0','
'],['passenger(174)','662.0','0.0','0.0','0.0','
'],['passenger(175)','662.0','0.0','0.0','0.0','
'],['passenger(176)','662.0','0.0','0.0','0.0','
'],['passenger(177)','662.0','0.0','0.0','0.0','
'],['passenger(178)','662.0','0.0','0.0','0.0','
'],['passenger(179)','662.0','0.0','0.0','0.0','
'],['passenger(180)','662.0','0.0','0.0','0.0','
'],['passenger(181)','662.0','0.0','0.0','0.0','
'],['passenger(182)','662.0','0.0','0.0','0.0','
