output
['Pasajero','tiempo_espera','tiempo_viaje','tiempo_transbordo','tiempo_total','
'],['passenger(116)','652.0','0.0','0.0','0.0','
'],['passenger(117)','652.0','0.0','0.0','0.0','
'],['passenger(118)','652.0','0.0','0.0','0.0','
'],['passenger(119)','652.0','0.0','0.0','0.0','
'],['passenger(120)','652.0','0.0','0.0','0.0','
'],['passenger(121)','652.0','0.0','0.0','0.0','
'],['passenger(122)','652.0','0.0','0.0','0.0','
'],['passenger(123)','652.0','0.0','0.0','0.0','
'],['passenger(124)','652.0','0.0','0.0','0.0','
'],['passenger(125)','652.0','0.0','0.0','0.0','
'],['passenger(126)','652.0','0.0','0.0','0.0','
'],['passenger(127)','652.0','0.0','0.0','0.0','
'],['passenger(128)','652.0','0.0','0.0','0.0','
'],['passenger(129)','652.0','0.0','0.0','0.0','
'],['passenger(130)','652.0','0.0','0.0','0.0','
'],['passenger(131)','652.0','0.0','0.0','0.0','
'],['passenger(132)','652.0','0.0','0.0','0.0','
'],['passenger(133)','652.0','0.0','0.0','0.0','
'],['passenger(134)','652.0','0.0','0.0','0.0','
'],['passenger(135)','652.0','0.0','0.0','0.0','
'],['passenger(136)','652.0','0.0','0.0','0.0','
'],['passenger(137)','652.0','0.0','0.0','0.0','
'],['passenger(138)','652.0','0.0','0.0','0.0','
'],['passenger(139)','652.0','0.0','0.0','0.0','
'],['passenger(140)','652.0','0.0','0.0','0.0','
'],['passenger(141)','652.0','0.0','0.0','0.0','
'],['passenger(142)','652.0','0.0','0.0','0.0','
'],['passenger(143)','652.0','0.0','0.0','0.0','
'],['passenger(144)','652.0','0.0','0.0','0.0','
'],['passenger(145)','652.0','0.0','0.0','0.0','
'],['passenger(146)','652.0','0.0','0.0','0.0','
'],['passenger(147)','652.0','0.0','0.0','0.0','
'],['passenger(148)','652.0','0.0','0.0','0.0','
'],['passenger(149)','652.0','0.0','0.0','0.0','
'],['passenger(150)','652.0','0.0','0.0','0.0','
'],['passenger(151)','652.0','0.0','0.0','0.0','
'],['passenger(152)','652.0','0.0','0.0','0.0','
'],['passenger(153)','652.0','0.0','0.0','0.0','
'],['passenger(154)','652.0','0.0','0.0','0.0','
'],['passenger(155)','652.0','0.0','0.0','0.0','
'],['passenger(156)','652.0','0.0','0.0','0.0','
'],['passenger(157)','652.0','0.0','0.0','0.0','
'],['passenger(158)','652.0','0.0','0.0','0.0','
'],['passenger(159)','652.0','0.0','0.0','0.0','
'],['passenger(160)','652.0','0.0','0.0','0.0','
'],['passenger(161)','652.0','0.0','0.0','0.0','
'],['passenger(162)','652.0','0.0','0.0','0.0','
'],['passenger(163)','652.0','0.0','0.0','0.0','
'],['passenger(164)','652.0','0.0','0.0','0.0','
'],['passenger(165)','652.0','0.0','0.0','0.0','
'],['passenger(166)','652.0','0.0','0.0','0.0','
'],['passenger(167)','652.0','0.0','0.0','0.0','
'],['passenger(168)','652.0','0.0','0.0','0.0','
'],['passenger(169)','652.0','0.0','0.0','0.0','
'],['passenger(170)','652.0','0.0','0.0','0.0','
'],['passenger(171)','652.0','0.0','0.0','0.0','
'],['passenger(172)','652.0','0.0','0.0','0.0','
'],['passenger(173)','652.0','0.0','0.0','0.0','
'],['passenger(174)','652.0','0.0','0.0','0.0','
'],['passenger(175)','652.0','0.0','0.0','0.0','
'],['passenger(176)','652.0','0.0','0.0','0.0','
'],['passenger(177)','652.0','0.0','0.0','0.0','
'],['passenger(178)','652.0','0.0','0.0','0.0','
'],['passenger(179)','652.0','0.0','0.0','0.0','
'],['passenger(180)','652.0','0.0','0.0','0.0','
'],['passenger(181)','652.0','0.0','0.0','0.0','
'],['passenger(182)','652.0','0.0','0.0','0.0','
'],['passenger(183)','652.0','0.0','0.0','0.0','
'],['passenger(184)','652.0','0.0','0.0','0.0','
'],['passenger(185)','652.0','0.0','0.0','0.0','
'],['passenger(186)','652.0','0.0','0.0','0.0','
'],['passenger(187)','652.0','0.0','0.0','0.0','
'],['passenger(188)','652.0','0.0','0.0','0.0','
'],['passenger(189)','652.0','0.0','0.0','0.0','
'],['passenger(190)','652.0','0.0','0.0','0.0','
'],['passenger(191)','652.0','0.0','0.0','0.0','
'],['passenger(192)','652.0','0.0','0.0','0.0','
'],['passenger(193)','652.0','0.0','0.0','0.0','
'],['passenger(194)','652.0','0.0','0.0','0.0','
'],['passenger(195)','652.0','0.0','0.0','0.0','
'],['passenger(196)','652.0','0.0','0.0','0.0','
'],['passenger(197)','652.0','0.0','0.0','0.0','
'],['passenger(198)','652.0','0.0','0.0','0.0','
'],['passenger(199)','652.0','0.0','0.0','0.0','
'],['passenger(200)','652.0','0.0','0.0','0.0','
'],['passenger(201)','652.0','0.0','0.0','0.0','
'],['passenger(202)','652.0','0.0','0.0','0.0','
'],['passenger(203)','652.0','0.0','0.0','0.0','
'],['passenger(204)','652.0','0.0','0.0','0.0','
'],['passenger(205)','652.0','0.0','0.0','0.0','
'],['passenger(206)','652.0','0.0','0.0','0.0','
'],['passenger(207)','652.0','0.0','0.0','0.0','
'],['passenger(208)','652.0','0.0','0.0','0.0','
'],['passenger(209)','652.0','0.0','0.0','0.0','
'],['passenger(210)','652.0','0.0','0.0','0.0','
'],['passenger(211)','652.0','0.0','0.0','0.0','
'],['passenger(212)','652.0','0.0','0.0','0.0','
'],['passenger(213)','652.0','0.0','0.0','0.0','
'],['passenger(214)','652.0','0.0','0.0','0.0','
'],['passenger(215)','652.0','0.0','0.0','0.0','
'],['passenger(216)','652.0','0.0','0.0','0.0','
'],['passenger(217)','652.0','0.0','0.0','0.0','
'],['passenger(218)','652.0','0.0','0.0','0.0','
'],['passenger(219)','652.0','0.0','0.0','0.0','
'],['passenger(220)','652.0','0.0','0.0','0.0','
'],['passenger(221)','652.0','0.0','0.0','0.0','
'],['passenger(222)','652.0','0.0','0.0','0.0','
'],['passenger(223)','652.0','0.0','0.0','0.0','
'],['passenger(224)','652.0','0.0','0.0','0.0','
'],['passenger(225)','652.0','0.0','0.0','0.0','
'],['passenger(226)','652.0','0.0','0.0','0.0','
'],['passenger(227)','652.0','0.0','0.0','0.0','
'],['passenger(228)','652.0','0.0','0.0','0.0','
'],['passenger(229)','652.0','0.0','0.0','0.0','
'],['passenger(230)','652.0','0.0','0.0','0.0','
'],['passenger(231)','652.0','0.0','0.0','0.0','
'],['passenger(232)','652.0','0.0','0.0','0.0','
'],['passenger(233)','652.0','0.0','0.0','0.0','
'],['passenger(234)','652.0','0.0','0.0','0.0','
'],['passenger(235)','652.0','0.0','0.0','0.0','
'],['passenger(236)','652.0','0.0','0.0','0.0','
'],['passenger(237)','652.0','0.0','0.0','0.0','
'],['passenger(238)','652.0','0.0','0.0','0.0','
'],['passenger(239)','652.0','0.0','0.0','0.0','
'],['passenger(240)','652.0','0.0','0.0','0.0','
'],['passenger(241)','652.0','0.0','0.0','0.0','
'],['passenger(242)','652.0','0.0','0.0','0.0','
'],['passenger(243)','652.0','0.0','0.0','0.0','
'],['passenger(244)','652.0','0.0','0.0','0.0','
'],['passenger(245)','652.0','0.0','0.0','0.0','
'],['passenger(246)','652.0','0.0','0.0','0.0','
'],['passenger(247)','652.0','0.0','0.0','0.0','
'],['passenger(248)','652.0','0.0','0.0','0.0','
'],['passenger(249)','652.0','0.0','0.0','0.0','
'],['passenger(250)','652.0','0.0','0.0','0.0','
'],['passenger(251)','652.0','0.0','0.0','0.0','
'],['passenger(252)','652.0','0.0','0.0','0.0','
'],['passenger(253)','652.0','0.0','0.0','0.0','
'],['passenger(254)','652.0','0.0','0.0','0.0','
'],['passenger(255)','652.0','0.0','0.0','0.0','
'],['passenger(256)','652.0','0.0','0.0','0.0','
'],['passenger(257)','652.0','0.0','0.0','0.0','
'],['passenger(258)','652.0','0.0','0.0','0.0','
'],['passenger(259)','652.0','0.0','0.0','0.0','
'],['passenger(260)','652.0','0.0','0.0','0.0','
'],['passenger(261)','652.0','0.0','0.0','0.0','
'],['passenger(262)','652.0','0.0','0.0','0.0','
'],['passenger(263)','652.0','0.0','0.0','0.0','
'],['passenger(264)','652.0','0.0','0.0','0.0','
'],['passenger(265)','652.0','0.0','0.0','0.0','
'],['passenger(266)','652.0','0.0','0.0','0.0','
'],['passenger(267)','652.0','0.0','0.0','0.0','
'],['passenger(268)','652.0','0.0','0.0','0.0','
